ExtID	Mapset	Map	MapFld	FldType	FldRow	FldCol	FldLen	Attrib	Color	Hilight	Initial
MAP000137	BNK1DAM	BNK1DAM.BNK1DA		LABEL	12	23	1	(NORM,PROT)			'/'
MAP000138	BNK1DAM	BNK1DAM.BNK1DA	OPENMM	FIELD	12	25	2	(NORM,PROT,ASKIP,FSET)			
MAP000139	BNK1DAM	BNK1DAM.BNK1DA		LABEL	12	28	1	(NORM,PROT)			'/'
MAP000140	BNK1DAM	BNK1DAM.BNK1DA	OPENYY	FIELD	12	30	4	(NORM,PROT,FSET,ASKIP)			
MAP000141	BNK1DAM	BNK1DAM.BNK1DA		LABEL	13	1	18	(NORM,PROT)			' Overdraft limit:'
MAP000142	BNK1DAM	BNK1DAM.BNK1DA	OVERDR	FIELD	13	20	8	(NORM,PROT,FSET,ASKIP)			
MAP000143	BNK1DAM	BNK1DAM.BNK1DA		LABEL	14	1	18	(NORM,PROT)			' Last statement :'
MAP000144	BNK1DAM	BNK1DAM.BNK1DA	LSTMTDD	FIELD	14	20	2	(NORM,PROT,FSET,ASKIP)			
MAP000145	BNK1DAM	BNK1DAM.BNK1DA		LABEL	14	23	1	(NORM,PROT)			'/'
MAP000146	BNK1DAM	BNK1DAM.BNK1DA	LSTMTMM	FIELD	14	25	2	(NORM,PROT,FSET,ASKIP)			
MAP000147	BNK1DAM	BNK1DAM.BNK1DA		LABEL	14	28	1	(NORM,PROT)			'/'
MAP000148	BNK1DAM	BNK1DAM.BNK1DA	LSTMTYY	FIELD	14	30	4	(NORM,PROT,FSET,ASKIP)			
MAP000149	BNK1DAM	BNK1DAM.BNK1DA		LABEL	15	1	18	(NORM,PROT)			' Next statement :'
MAP000150	BNK1DAM	BNK1DAM.BNK1DA	NSTMTDD	FIELD	15	20	2	(NORM,PROT,FSET,ASKIP)			
MAP000151	BNK1DAM	BNK1DAM.BNK1DA		LABEL	15	23	1	(NORM,PROT)			'/'
MAP000152	BNK1DAM	BNK1DAM.BNK1DA	NSTMTMM	FIELD	15	25	2	(NORM,PROT,FSET,ASKIP)			
MAP000153	BNK1DAM	BNK1DAM.BNK1DA		LABEL	15	28	1	(NORM,PROT)			'/'
MAP000154	BNK1DAM	BNK1DAM.BNK1DA	NSTMTYY	FIELD	15	30	4	(NORM,PROT,FSET,ASKIP)			
MAP000155	BNK1DAM	BNK1DAM.BNK1DA		LABEL	16	1	17	(NORM,PROT)			' Available Bal  :'
MAP000156	BNK1DAM	BNK1DAM.BNK1DA	AVBAL	FIELD	16	19	14	(NORM,PROT,FSET,ASKIP)			
MAP000157	BNK1DAM	BNK1DAM.BNK1DA		LABEL	17	1	17	(NORM,PROT)			' Actual Balance :'
MAP000158	BNK1DAM	BNK1DAM.BNK1DA	ACTBAL	FIELD	17	19	14	(NORM,PROT,FSET,ASKIP)			
MAP000159	BNK1DAM	BNK1DAM.BNK1DA	MESSAGE	FIELD	23	1	79	(BRT,PROT,ASKIP)			
MAP000160	BNK1DAM	BNK1DAM.BNK1DA		LABEL	24	1	20	(NORM,PROT,ASKIP)			'F3=Exit   F12=Cancel'
MAP000161	BNK1DAM	BNK1DAM.BNK1DA	DUMMY	FIELD	24	79	1	(DRK,PROT,FSET,ASKIP)			' '
MAP000162	BNK1ACC	BNK1ACC.									
MAP000163	BNK1ACC	BNK1ACC.BNK1ACC									
MAP000164	BNK1ACC	BNK1ACC.BNK1ACC		LABEL	1	1	7	(PROT,NORM)			'BNK1ACC'
MAP000165	BNK1ACC	BNK1ACC.BNK1ACC	COMPANY	FIELD	1	14	60	(NORM,PROT)			'CICS Banking Sample Application - Accounts for Customers.'
MAP000166	BNK1ACC	BNK1ACC.BNK1ACC		LABEL	3	1	44	(NORM,PROT)			'Provide a Customer number. Then press Enter.'
MAP000167	BNK1ACC	BNK1ACC.BNK1ACC		LABEL	5	1	15	(NORM,PROT)			'CUSTOMER NUMBER'
MAP000168	BNK1ACC	BNK1ACC.BNK1ACC	CUSTNO	FIELD	5	17	10	(NORM,NUM,IC)			
MAP000169	BNK1ACC	BNK1ACC.BNK1ACC		LABEL	5	28	1	(NORM,PROT,ASKIP)			
MAP000170	BNK1ACC	BNK1ACC.BNK1ACC		LABEL	8	1	41	(NORM,PROT)			'SORT CODE   ACCOUNT NUMBER   ACCOUNT TYPE'
MAP000171	BNK1ACC	BNK1ACC.BNK1ACC		LABEL	8	43	33	(NORM,PROT)			'   AVAIL BALANCE   ACTUAL BALANCE'
MAP000172	BNK1ACC	BNK1ACC.BNK1ACC	ACCOUNT	FIELD	9	1	79	(NORM,PROT,FSET,ASKIP)			
MAP000173	BNK1ACC	BNK1ACC.BNK1ACC	MESSAGE	FIELD	23	1	79	(BRT,PROT,ASKIP)			
MAP000174	BNK1ACC	BNK1ACC.BNK1ACC		LABEL	24	1	20	(NORM,PROT,ASKIP)			'F3=Exit   F12=Cancel'
MAP000175	BNK1ACC	BNK1ACC.BNK1ACC	DUMMY	FIELD	24	79	1	(DRK,PROT,ASKIP,FSET)			' '
MAP000176	BNK1TFM	BNK1TFM.									
MAP000177	BNK1TFM	BNK1TFM.BNK1TF									
MAP000178	BNK1TFM	BNK1TFM.BNK1TF		LABEL	1	1	7	(NORM,PROT)			'BNK1TF '
MAP000179	BNK1TFM	BNK1TFM.BNK1TF	COMPANY	FIELD	1	17	58	(NORM,PROT)			'CICS Banking Sample Application - Transfer funds.'
MAP000180	BNK1TFM	BNK1TFM.BNK1TF		LABEL	3	1	70	(NORM,PROT)			'Provide a FROM account, a TO account and an Amount and press Enter.'
MAP000181	BNK1TFM	BNK1TFM.BNK1TF		LABEL	8	1	21	(NORM,PROT)			'FROM Account Number:'
MAP000182	BNK1TFM	BNK1TFM.BNK1TF	FACCNO	FIELD	8	23	8	(NORM,NUM,FSET)			
MAP000183	BNK1TFM	BNK1TFM.BNK1TF		LABEL	8	32	19	(NORM,PROT,ASKIP)			'TO Account Number:'
MAP000184	BNK1TFM	BNK1TFM.BNK1TF	TACCNO	FIELD	8	52	8	(NORM,NUM,FSET)			
MAP000185	BNK1TFM	BNK1TFM.BNK1TF		LABEL	8	61	1	(PROT,ASKIP)			
MAP000186	BNK1TFM	BNK1TFM.BNK1TF		LABEL	9	1	7	(NORM,PROT)			'AMOUNT:'
MAP000187	BNK1TFM	BNK1TFM.BNK1TF	AMT	FIELD	9	23	13	(NORM,UNPROT,FSET)			'0000000000.00'
MAP000188	BNK1TFM	BNK1TFM.BNK1TF		LABEL	9	37	1	(PROT,ASKIP)			
MAP000189	BNK1TFM	BNK1TFM.BNK1TF		LABEL	11	1	16	(NORM,PROT)			'FROM Account   :'
MAP000190	BNK1TFM	BNK1TFM.BNK1TF	FACCNO2	FIELD	11	20	8	(NORM,NUM,PROT)			
MAP000191	BNK1TFM	BNK1TFM.BNK1TF		LABEL	11	35	16	(NORM,PROT)			'TO Account     :'
MAP000192	BNK1TFM	BNK1TFM.BNK1TF	TACCNO2	FIELD	11	55	8	(NORM,PROT)			
MAP000193	BNK1TFM	BNK1TFM.BNK1TF		LABEL	12	1	16	(NORM,PROT)			'Sort Code      :'
MAP000194	BNK1TFM	BNK1TFM.BNK1TF	FSORTC	FIELD	12	20	6	(NORM,NUM,PROT)			'      '
MAP000195	BNK1TFM	BNK1TFM.BNK1TF		LABEL	12	35	16	(NORM,PROT)			'Sort Code      :'
MAP000196	BNK1TFM	BNK1TFM.BNK1TF	TSORTC	FIELD	12	55	6	(NORM,NUM,PROT)			'      '
MAP000197	BNK1TFM	BNK1TFM.BNK1TF		LABEL	13	1	16	(NORM,PROT)			'Actual Balance :'
MAP000198	BNK1TFM	BNK1TFM.BNK1TF	FACTBAL	FIELD	13	19	14	(NORM,PROT)			
MAP000199	BNK1TFM	BNK1TFM.BNK1TF		LABEL	13	35	16	(NORM,PROT)			'Actual Balance :'
MAP000200	BNK1TFM	BNK1TFM.BNK1TF	TACTBAL	FIELD	13	54	14	(NORM,PROT)			
MAP000201	BNK1TFM	BNK1TFM.BNK1TF		LABEL	14	1	16	(NORM,PROT)			'Avail Balance  :'
MAP000202	BNK1TFM	BNK1TFM.BNK1TF	FAVBAL	FIELD	14	19	14	(NORM,PROT)			
MAP000203	BNK1TFM	BNK1TFM.BNK1TF		LABEL	14	35	18	(NORM,PROT)			'Avail Balance  :'
MAP000204	BNK1TFM	BNK1TFM.BNK1TF	TAVBAL	FIELD	14	54	14	(NORM,PROT)			
MAP000205	BNK1TFM	BNK1TFM.BNK1TF	MESSAGE	FIELD	23	1	79	(BRT,PROT)			
MAP000206	BNK1TFM	BNK1TFM.BNK1TF		LABEL	24	1	20	(NORM,PROT)			'F3=Exit   F12=Cancel'
MAP000207	BNK1TFM	BNK1TFM.BNK1TF	DUMMY	FIELD	24	79	1	(DRK,PROT,FSET)			' '
MAP000208	BNK1MAI	BNK1MAI.									
MAP000209	BNK1MAI	BNK1MAI.BNK1ME									
MAP000210	BNK1MAI	BNK1MAI.BNK1ME		LABEL	1	1	7	(PROT,NORM)			'BNK1MA '
MAP000211	BNK1MAI	BNK1MAI.BNK1ME	COMPANY	FIELD	1	20	43	(NORM,PROT)			'CICS Banking Sample Application - Main Menu.'
MAP000212	BNK1MAI	BNK1MAI.BNK1ME		LABEL	3	1	36	(NORM,PROT)			'Select an option. Then press Enter.'
MAP000213	BNK1MAI	BNK1MAI.BNK1ME		LABEL	5	1	14	(NORM,PROT)			'Action . . . .'
MAP000214	BNK1MAI	BNK1MAI.BNK1ME	ACTION	FIELD	5	16	1	(NORM,NUM,IC)			' '
MAP000215	BNK1MAI	BNK1MAI.BNK1ME		LABEL	5	18	46	(PROT,ASKIP)			'1.  Display/Delete/Update CUSTOMER information'
MAP000216	BNK1MAI	BNK1MAI.BNK1ME		LABEL	6	18	38	(PROT,ASKIP)			'2.  Display/Delete ACCOUNT information'
MAP000217	BNK1MAI	BNK1MAI.BNK1ME		LABEL	7	18	19	(PROT,ASKIP)			'3.  Create CUSTOMER'
MAP000218	BNK1MAI	BNK1MAI.BNK1ME		LABEL	8	18	18	(PROT,ASKIP)			'4.  Create ACCOUNT'
MAP000219	BNK1MAI	BNK1MAI.BNK1ME		LABEL	9	18	18	(PROT,ASKIP)			'5.  Update ACCOUNT'
MAP000220	BNK1MAI	BNK1MAI.BNK1ME		LABEL	10	18	36	(ASKIP,PROT)			'6.  Credit/Debit funds to an ACCOUNT'
MAP000221	BNK1MAI	BNK1MAI.BNK1ME		LABEL	11	18	42	(PROT,ASKIP)			'7.  Transfer funds'
MAP000222	BNK1MAI	BNK1MAI.BNK1ME		LABEL	13	18	41	(ASKIP,PROT)			'A.  Look up Accounts with Customer Number'
MAP000223	BNK1MAI	BNK1MAI.BNK1ME	MESSAGE	FIELD	23	1	79	(BRT,PROT,ASKIP)			
MAP000224	BNK1MAI	BNK1MAI.BNK1ME		LABEL	24	1	20	(NORM,PROT,ASKIP)			'F3=Exit   F12=Cancel'
MAP000225	BNK1MAI	BNK1MAI.BNK1ME	DUMMY	FIELD	24	79	1	(DRK,PROT,FSET,ASKIP)			' '
MAP000226	BNK1UAM	BNK1UAM.									
MAP000227	BNK1UAM	BNK1UAM.BNK1UA									
MAP000228	BNK1UAM	BNK1UAM.BNK1UA		LABEL	1	1	7	(NORM,PROT)			'BNK1UA '
MAP000229	BNK1UAM	BNK1UAM.BNK1UA	COMPANY	FIELD	1	17	52	(NORM,PROT)			'CICS Banking Sample Application - Update Account.'
MAP000230	BNK1UAM	BNK1UAM.BNK1UA		LABEL	3	1	34	(NORM,PROT)			'Please provide an ACCOUNT number.'
MAP000231	BNK1UAM	BNK1UAM.BNK1UA		LABEL	5	1	15	(NORM,PROT)			'ACCOUNT NUMBER'
