CommID	AccessType	Statement	Modifier	Exprpos	TableIndex	ExtID
81	CICS	SEND TEXT	FROM			
82	CICS	SEND TEXT	ERASE			
83	CICS	SEND TEXT	FREEKB			
84	CICS	SEND TEXT	RESP			
85	CICS	SEND TEXT	RESP2			
86	proc	DISPLAY				
87	CICS	ABEND				
88	CICS	ABEND	ABCODE			
89	CICS	ABEND	NODUMP			
90	CICS	ASKTIME				
91	CICS	ASKTIME	ABSTIME			
92	CICS	FORMATTIME				
93	CICS	FORMATTIME	ABSTIME			
94	CICS	FORMATTIME	DDMMYYYY			
95	CICS	FORMATTIME	TIME			
96	CICS	FORMATTIME	DATESEP			
97	COPY					
98	proc	ENTRY				ENTRY1
99	proc	IF	NOT =			
100	proc	IF	OR			
101	CICS	BIF DEEDIT				
102	CICS	BIF DEEDIT	FIELD			
103	proc	IF	AND			
104	proc	COMPUTE	= NUMVAL			
105	proc	COMPUTE				
106	proc	COMPUTE	=			
107	proc	ENTRY				ENTRY2
108	proc	ENTRY	USING1			
109	SQL	SELECT				
110	SQL	SELECT	INTO			
111	SQL	SELECT	FROM			SQL001000
112	SQL	SELECT	WHERE			SQL001001
113	SQL	SELECT	WHERE			
114	proc	ENTRY				ENTRY3
115	proc	COMPUTE	* RANDOM			
116	proc	COMPUTE	(			
117	proc	COMPUTE	-			
118	proc	COMPUTE	*			
119	proc	COMPUTE	+			
120	CICS	DELAY				
121	CICS	DELAY	FOR			
122	CICS	DELAY	SECONDS			
123	CICS	DELAY	RESP			
124	CICS	DELAY	RESP2			
125	proc	COMPUTE	LENGTH			
126	CICS	GET CONTAINER				
127	CICS	GET CONTAINER	CONTAINER			
128	CICS	GET CONTAINER	CHANNEL			
129	CICS	GET CONTAINER	INTO			
130	CICS	GET CONTAINER	FLENGTH			
131	CICS	GET CONTAINER	RESP			
132	CICS	GET CONTAINER	RESP2			
133	CICS	PUT CONTAINER				
134	CICS	PUT CONTAINER	CONTAINER			
135	CICS	PUT CONTAINER	FROM			
136	CICS	PUT CONTAINER	FLENGTH			
137	CICS	PUT CONTAINER	CHANNEL			
138	CICS	PUT CONTAINER	RESP			
139	CICS	PUT CONTAINER	RESP2			
140	SQL	DECLARE CURSOR				
141	SQL	DECLARE CURSOR				CUR000001
142	SQL	DECLARE CURSOR				SQL001002
143	SQL	DECLARE CURSOR				SQL001003
144	SQL	DECLARE CURSOR				SQL001001
145	SQL	DECLARE CURSOR				SQL001004
146	SQL	DECLARE CURSOR				SQL001005
147	SQL	DECLARE CURSOR				SQL001006
148	SQL	DECLARE CURSOR				SQL001007
149	SQL	DECLARE CURSOR				SQL001008
150	SQL	DECLARE CURSOR				SQL001009
151	SQL	DECLARE CURSOR				SQL001010
152	SQL	DECLARE CURSOR				SQL001011
153	SQL	DECLARE CURSOR				SQL001012
154	SQL	DECLARE CURSOR	FROM			SQL001000
155	SQL	DECLARE CURSOR	WHERE			SQL001001
156	SQL	DECLARE CURSOR	WHERE			
157	SQL	DECLARE CURSOR	WHERE			SQL001004
158	SQL	DECLARE CURSOR	FETCH ONLY			
159	proc	ENTRY				ENTRY4
160	CICS	HANDLE ABEND				
161	CICS	HANDLE ABEND	LABEL			
162	SQL	OPEN	CURSOR			CUR000001
163	CICS	ABEND	CANCEL			
164	SQL	CLOSE	CURSOR			CUR000001
165	SQL	FETCH	CURSOR			CUR000001
166	SQL	FETCH	INTO			
167	proc	GOBACK				
168	CICS	ASSIGN	ABCODE			
169	proc	DISPLAY			(1 : sqlerrmL)	
170	proc	DISPLAY	INDEX			
171	proc	DISPLAY			(1)	
172	proc	DISPLAY			(2)	
173	proc	DISPLAY			(3)	
174	proc	DISPLAY			(4)	
175	proc	DISPLAY			(5)	
176	proc	DISPLAY			(6)	
177	CICS	SYNCPOINT ROLLBACK				
178	CICS	SYNCPOINT ROLLBACK	RESP			
179	CICS	SYNCPOINT ROLLBACK	RESP2			
180	SQL	SELECT				SQL001002
181	SQL	SELECT				SQL001003
182	SQL	SELECT				SQL001001
183	SQL	SELECT				SQL001004
184	SQL	SELECT				SQL001005
185	SQL	SELECT				SQL001006
186	SQL	SELECT				SQL001007
187	SQL	SELECT				SQL001008
188	SQL	SELECT				SQL001009
189	SQL	SELECT				SQL001010
190	SQL	SELECT				SQL001011
191	SQL	SELECT				SQL001012
192	SQL	SELECT	INTO			SQL001002
193	SQL	SELECT	INTO			SQL001003
194	SQL	SELECT	INTO			SQL001001
195	SQL	SELECT	INTO			SQL001004
196	SQL	SELECT	INTO			SQL001005
197	SQL	SELECT	INTO			SQL001006
198	SQL	SELECT	INTO			SQL001007
199	SQL	SELECT	INTO			SQL001008
200	SQL	SELECT	INTO			SQL001009
201	SQL	SELECT	INTO			SQL001010
202	SQL	SELECT	INTO			SQL001011
203	SQL	SELECT	INTO			SQL001012
204	SQL	SELECT	ORDER BY			SQL001004
205	SQL	SELECT	FETCH FIRST			
206	proc	ENTRY				ENTRY5
207	proc	IF			(1 : INTRTL)	
208	proc	INSPECT			(1 : INTRTL)	
209	proc	INSPECT	INDEX			
210	proc	INSPECT	TALLYING			
211	proc	INSPECT	TALLYING ALL			
212	proc	IF	>			
213	proc	END-If				
214	proc	INSPECT	TALLYING CHARACTERS			
215	proc	INSPECT	TALLYING AFTER			
216	proc	INSPECT	TALLYING BEFORE			
217	proc	ADD				
218	proc	ADD	TO			
219	proc	ADD	GIVING			
220	proc	INSPECT			(WS-NUM-COUNT-POINT : INTRTL)	
221	proc	IF	(			
222	proc	STRING	into			
223	proc	IF	OR		(1 : OVERDRL)	
224	proc	COMPUTE	= NUMVAL		(1 : OVERDRL)	
225	proc	COMPUTE	INDEX			
226	proc	COMPUTE	/			
227	CICS	SEND MAP	CURSOR			
228	proc	ENTRY				ENTRY6
229	CICS	READ				
230	CICS	READ	FILE			
231	CICS	READ	RIDFLD			
232	CICS	READ	INTO			
233	CICS	READ	UPDATE			
234	CICS	READ	TOKEN			
235	CICS	READ	RESP			
236	CICS	READ	RESP2			
237	proc	IF	=		(SYSIDERR)	
238	proc	PERFORM	=		(NORMAL)	
239	proc	PERFORM	INDEX			
240	proc	PERFORM	NOT =		(SYSIDERR)	
241	proc	IF	=		(NOTFND)	
242	proc	STRING	DELIMITED			
243	proc	MOVE			(1 : 2)	
244	proc	MOVE	TO		(1 : 2)	
245	proc	MOVE	TO		(3 : 1)	
246	proc	MOVE			(3 : 2)	
247	proc	MOVE	TO		(4 : 2)	
248	proc	MOVE	TO		(6 : 1)	
249	proc	MOVE			(5 : 4)	
250	proc	MOVE	TO		(7 : 4)	
251	CICS	DELETE				
252	CICS	DELETE	FILE			
253	CICS	DELETE	TOKEN			
254	CICS	DELETE	RESP			
255	CICS	DELETE	RESP2			
256	proc	MOVE	TO		(1 : 6)	
257	proc	MOVE	TO		(7 : 10)	
258	proc	MOVE	TO		(17 : 14)	
259	proc	MOVE	TO		(31 : 10)	
260	SQL	INSERT	INTO			SQL002000
261	SQL	INSERT	INTO			SQL002001
262	SQL	INSERT	INTO			SQL002002
263	SQL	INSERT	INTO			SQL002003
264	SQL	INSERT	INTO			SQL002004
265	SQL	INSERT	INTO			SQL002005
266	SQL	INSERT	INTO			SQL002006
267	SQL	INSERT	INTO			SQL002007
268	SQL	INSERT	INTO			SQL002008
269	SQL	INSERT	INTO			SQL002009
270	SQL	INSERT	VALUES			SQL002001
271	SQL	INSERT	VALUES			SQL002002
272	SQL	INSERT	VALUES			SQL002003
273	SQL	INSERT	VALUES			SQL002004
274	SQL	INSERT	VALUES			SQL002005
275	SQL	INSERT	VALUES			SQL002006
276	SQL	INSERT	VALUES			SQL002007
277	SQL	INSERT	VALUES			SQL002008
278	SQL	INSERT	VALUES			SQL002009
279	proc	ENTRY				ENTRY7
280	proc	ENTRY				ENTRY8
281	CICS	ENQ				
282	CICS	ENQ	RESOURCE			
283	CICS	ENQ	LENGTH			
284	CICS	ENQ	RESP			
285	CICS	ENQ	RESP2			
286	CICS	DEQ				
287	CICS	DEQ	RESOURCE			
288	CICS	DEQ	LENGTH			
289	CICS	DEQ	RESP			
290	CICS	DEQ	RESP2			
291	CICS	RUN TRANSID				
292	CICS	RUN TRANSID	TRANSID			
293	CICS	RUN TRANSID	CHANNEL			
294	CICS	RUN TRANSID	CHILD			
295	CICS	RUN TRANSID	RESP			
296	CICS	RUN TRANSID	RESP2			
297	proc	MOVE	TO		(WS-CHILD-ISSUED-CNT)	
298	proc	PERFORM	=			
299	CICS	FETCH ANY				
300	CICS	FETCH ANY	ANY			
301	CICS	FETCH ANY	CHANNEL			
302	CICS	FETCH ANY	NOSUSPEND			
303	CICS	FETCH ANY	COMPSTATUS			
304	CICS	FETCH ANY	ABCODE			
305	CICS	FETCH ANY	RESP			
306	CICS	FETCH ANY	RESP2			
307	proc	IF	=		(NOTFINISHED)	
308	proc	MOVE	CURRENT-DATE			
309	proc	MOVE			(1 : 8)	
310	proc	COMPUTE	= INTEGER-OF-DATE			
311	proc	COMPUTE	= DATE-OF-INTEGER			
312	proc	MOVE			(1 : 4)	
313	proc	MOVE	TO		(5 : 4)	
314	proc	MOVE			(5 : 2)	
315	proc	MOVE	TO		(3 : 2)	
316	proc	MOVE			(7 : 2)	
317	proc	IF	=		(INVREQ)	
318	proc	WHEN			(NORMAL)	
319	proc	WHEN	INDEX			
320	proc	WHEN			(1)	
321	proc	WHEN			(2)	
322	proc	WHEN			(3)	
323	proc	WHEN			(4)	
324	proc	WHEN			(5)	
325	proc	WHEN			(6)	
326	proc	WHEN			(7)	
327	proc	WHEN			(8)	
328	proc	WHEN			(9)	
329	proc	WHEN			(ABEND)	
330	proc	WHEN			(SECERROR)	
331	CICS	WRITE				
332	CICS	WRITE	FILE			
333	CICS	WRITE	FROM			
334	CICS	WRITE	RIDFLD			
335	CICS	WRITE	LENGTH			
336	CICS	WRITE	KEYLENGTH			
337	CICS	WRITE	RESP			
338	CICS	WRITE	RESP2			
339	CICS	REWRITE				
340	CICS	REWRITE	FILE			
341	CICS	REWRITE	FROM			
342	CICS	REWRITE	RESP			
343	CICS	REWRITE	RESP2			
344	proc	CALL				
345	proc	CALL	USING1			
346	proc	CALL	USING2			
347	proc	CALL	USING3			
348	proc	CALL	USING4			
349	proc	SUBTRACT				
350	proc	SUBTRACT	FROM			
351	proc	SUBTRACT	GIVING			
352	proc	ENTRY				ENTRY9
353	SQL	SELECT				SQL003001
354	SQL	SELECT				SQL003002
355	SQL	SELECT				SQL003003
356	SQL	SELECT	INTO			SQL003001
357	SQL	SELECT	INTO			SQL003002
358	SQL	SELECT	INTO			SQL003003
359	SQL	SELECT	FROM			SQL003000
360	SQL	SELECT	WHERE			SQL003001
361	SQL	UPDATE	TABLE			SQL003000
362	SQL	UPDATE	SET			SQL003002
363	SQL	UPDATE	SET			
364	SQL	UPDATE	WHERE			SQL003001
365	SQL	UPDATE	WHERE			
366	proc	MOVE			(9 : 8)	
367	SQL	INSERT	INTO			SQL001000
368	SQL	INSERT	INTO			SQL001002
369	SQL	INSERT	INTO			SQL001003
370	SQL	INSERT	INTO			SQL001001
371	SQL	INSERT	INTO			SQL001004
372	SQL	INSERT	INTO			SQL001005
373	SQL	INSERT	INTO			SQL001006
374	SQL	INSERT	INTO			SQL001007
375	SQL	INSERT	INTO			SQL001008
376	SQL	INSERT	INTO			SQL001009
377	SQL	INSERT	INTO			SQL001010
378	SQL	INSERT	INTO			SQL001011
379	SQL	INSERT	INTO			SQL001012
380	SQL	INSERT	VALUES			SQL001002
381	SQL	INSERT	VALUES			SQL001003
382	SQL	INSERT	VALUES			SQL001001
383	SQL	INSERT	VALUES			SQL001004
384	SQL	INSERT	VALUES			SQL001005
385	SQL	INSERT	VALUES			SQL001006
386	SQL	INSERT	VALUES			SQL001007
387	SQL	INSERT	VALUES			SQL001008
388	SQL	INSERT	VALUES			SQL001009
389	SQL	INSERT	VALUES			SQL001010
390	SQL	INSERT	VALUES			SQL001011
391	SQL	INSERT	VALUES			SQL001012
392	proc	MOVE			(4 : 2)	
393	proc	MOVE			(7 : 4)	
394	proc	MOVE	TO		(1 : 10)	
395	proc	MOVE	TO		(11 : 8)	
396	proc	MOVE	TO		(19 : 8)	
397	proc	MOVE	TO		(27 : 8)	
398	proc	MOVE	TO		(35 : 6)	
399	proc	DIVIDE				
400	proc	DIVIDE	BY			
401	proc	DIVIDE	GIVING			
402	proc	DIVIDE	REMAINDER			
403	proc	WHEN			(1 : 3)	
404	proc	WHEN			(1 : 8)	
405	proc	WHEN			(1 : 6)	
406	proc	WHEN			(1 : 7)	
407	proc	WHEN			(1 : 4)	
408	proc	ENTRY				ENTRY10
409	proc	ENTRY				ENTRY11
410	SQL	SELECT	WHERE			SQL001004
411	proc	IF	OR		(1 : 1)	
412	SQL	UPDATE	TABLE			SQL001000
413	SQL	UPDATE	SET			SQL001005
414	SQL	UPDATE	SET			SQL001006
415	SQL	UPDATE	SET			SQL001008
416	SQL	UPDATE	WHERE			SQL001001
417	SQL	UPDATE	WHERE			SQL001004
418	proc	ENTRY				ENTRY12
419	SQL	DELETE	FROM			SQL001000
420	SQL	DELETE	WHERE			SQL001001
421	SQL	DELETE	WHERE			
422	SQL	DELETE	WHERE			SQL001004
423	proc	ENTRY				ENTRY13
424	proc	UNSTRING				
425	proc	UNSTRING	DELIMITED BY			
426	proc	UNSTRING	INTO			
427	proc	IF			(1 : 1)	
428	proc	IF	AND		(1 : 1)	
429	CICS	REWRITE	LENGTH			
430	proc	ENTRY				ENTRY14
431	proc	ENTRY				ENTRY15
432	CICS	SEND MAP	MAPONLY			
433	CICS	SEND MAP	FREEKB			
434	CICS	INQUIRE				
435	CICS	INQUIRE	TERMINAL			
436	CICS	INQUIRE	UCTRANST			
437	CICS	INQUIRE	RESP			
438	CICS	INQUIRE	RESP2			
439	proc	IF	=		(UCTRAN)	
440	proc	IF	=		(TRANIDONLY)	
441	proc	MOVE			(NOUCTRAN)	
442	CICS	SET TERMINAL				
443	CICS	SET TERMINAL	TERMINAL			
444	CICS	SET TERMINAL	UCTRANST			
445	CICS	SET TERMINAL	RESP			
446	CICS	SET TERMINAL	RESP2			
447	CICS	RECEIVE MAP	TERMINAL			
448	CICS	RECEIVE MAP	ASIS			
449	proc	WHEN	<			
450	proc	INSPECT				
451	proc	INSPECT	REPLACING ALL			
452	proc	INSPECT	REPLACING ALL BY			
453	proc	STRING	DELIMITED BY			
454	CICS	HANDLE ABEND	CANCEL			
455	proc	ENTRY				ENTRY16
456	proc	ENTRY				ENTRY17
457	CICS	INQUIRE	ASSOCIATION			
458	CICS	INQUIRE	ODAPPLID			
459	CICS	INQUIRE	ODUSERID			
460	CICS	INQUIRE	ODFACILNAME			
461	CICS	INQUIRE	ODNETWORKID			
462	CICS	INQUIRE	ODFACILTYPE			
463	proc	IF			(1 : AMTL)	
464	proc	COMPUTE	= NUMVAL		(1 : AMTL)	
465	proc	INSPECT			(1 : AMTL)	
466	proc	INSPECT	TALLYING LEADING			
467	proc	UNSTRING			(1 : AMTL)	
468	proc	UNSTRING	INDEX			
469	proc	UNSTRING			(WS-NUM-COUNT-TOTAL : AMTL)	
470	proc	MOVE	REVERSE			
471	proc	MOVE	REVERSE		(1 : WS-AMOUNT-UNSTR-L)	
472	proc	INSPECT			(1 : WS-AMOUNT-UNSTR-L)	
473	proc	INSPECT			(WS-NUM-COUNT-POINT : WS-AMOUNT-UNSTR-L)	
474	proc	COMPUTE	= NUMVAL		(1 : WS-AMOUNT-UNSTR-L)	
475	proc	ENTRY				ENTRY18
476	proc	ENTRY				ENTRY19
477	proc	IF	=		(NORMAL)	
478	CICS	STARTBR				
479	CICS	STARTBR	FILE			
480	CICS	STARTBR	RIDFLD			
481	CICS	STARTBR	RESP			
482	CICS	STARTBR	RESP2			
483	CICS	READPREV				
484	CICS	READPREV	FILE			
485	CICS	READPREV	RIDFLD			
486	CICS	READPREV	INTO			
487	CICS	READPREV	RESP			
488	CICS	READPREV	RESP2			
489	CICS	ENDBR				
490	CICS	ENDBR	FILE			
491	CICS	ENDBR	RESP			
492	CICS	ENDBR	RESP2			
493	proc	ENTRY				ENTRY20
494	CICS	READ	KEYLENGTH			
495	proc	if				
496	proc	if	=		(sysiderr)	
497	proc	if	INDEX			
498	proc	perform	VARYING			
499	proc	perform	FROM			
500	proc	perform	BY			
501	proc	perform	UNTIL			
502	proc	perform	>			
503	proc	perform	OR			
504	proc	perform	=		(normal)	
505	proc	perform	INDEX			
506	proc	perform	not =		(sysiderr)	
507	CICS	delay				
508	CICS	delay	for			
509	CICS	delay	seconds			
510	proc	end-perform				
511	proc	end-if				
512	proc	ENTRY				ENTRY21
513	proc	ENTRY				ENTRY22
514	proc	IF	<=			
515	SQL	UPDATE	SET			SQL001002
516	SQL	UPDATE	SET			SQL001003
517	SQL	UPDATE	SET			SQL001001
518	SQL	UPDATE	SET			SQL001004
519	SQL	UPDATE	SET			SQL001007
520	SQL	UPDATE	SET			SQL001009
521	SQL	UPDATE	SET			SQL001010
522	SQL	UPDATE	SET			SQL001011
523	SQL	UPDATE	SET			SQL001012
524	proc	IF			(3)	
525	proc	DISPLAY			(1 : SQLERRML)	
526	proc	ENTRY				ENTRY23
527	proc	move				
528	proc	move	TO			
529	proc	INSPECT			(1 : OVERDRL)	
530	SQL	DECLARE CURSOR				CUR000002
531	SQL	DECLARE CURSOR	WHERE			SQL001003
532	proc	ENTRY				ENTRY24
533	SQL	OPEN	CURSOR			CUR000002
534	SQL	CLOSE	CURSOR			CUR000002
535	proc	PERFORM	NOT =			
536	SQL	FETCH	CURSOR			CUR000002
537	proc	MOVE	TO		(NUMBER-OF-ACCOUNTS)	
538	proc	STRING	INTO		(NUMBER-OF-ACCOUNTS)	
539	FILE	FD				FILE1
540	decl					FILE1
541	FILE	SELECT				FILE1
542	FILE	SELECT	ASSIGN			FILE1
543	FILE	SELECT	REC/REL KEY			FILE1
544	FILE	SELECT	FILE STATUS			FILE1
545	proc	ENTRY				ENTRY25
546	proc	perform				
547	proc	UNSTRING			(1 : PARM-LENGTH)	
548	FILE	OPEN	OUTPUT			FILE1
549	proc	STRING			(TITLE-NUMBER)	
550	proc	STRING	DELIMITED		(FORENAMES-PTR)	
551	proc	STRING	DELIMITED		(INITIALS-PTR)	
552	proc	STRING	DELIMITED		(SURNAMES-PTR)	
553	proc	STRING	DELIMITED		(STREET-NAME-T-PTR)	
554	proc	STRING	DELIMITED		(STREET-NAME-R-PTR)	
555	proc	STRING	DELIMITED		(TOWN-PTR)	
556	FILE	WRITE				FILE1
557	SQL	COMMIT				
558	SQL	INSERT	INTO			SQL003000
559	SQL	INSERT	INTO			SQL003001
560	SQL	INSERT	INTO			SQL003002
561	SQL	INSERT	INTO			SQL003003
562	SQL	INSERT	VALUES			SQL003001
563	SQL	INSERT	VALUES			SQL003002
564	SQL	INSERT	VALUES			SQL003003
565	FILE	CLOSE				FILE1
566	proc	MOVE			(WS-CNT)	
567	proc	MOVE	TO		(01)	
568	proc	MOVE	TO		(02)	
569	proc	MOVE	TO		(03)	
570	proc	MOVE	TO		(04)	
571	proc	MOVE	TO		(05)	
572	proc	MOVE	TO		(06)	
573	proc	MOVE	TO		(07)	
574	proc	MOVE	TO		(08)	
575	proc	MOVE	TO		(09)	
576	proc	MOVE	TO		(10)	
577	proc	MOVE	TO		(11)	
578	proc	MOVE	TO		(12)	
579	proc	MOVE	TO		(13)	
580	proc	MOVE	TO		(14)	
581	proc	MOVE	TO		(15)	
582	proc	MOVE	TO		(16)	
583	proc	MOVE	TO		(17)	
584	proc	MOVE	TO		(18)	
585	proc	MOVE	TO		(19)	
586	proc	MOVE	TO		(20)	
587	proc	MOVE	TO		(21)	
588	proc	MOVE	TO		(22)	
589	proc	MOVE	TO		(23)	
590	proc	MOVE	TO		(24)	
591	proc	MOVE	TO		(25)	
592	proc	MOVE	TO		(26)	
593	proc	MOVE	TO		(27)	
594	proc	MOVE	TO		(28)	
595	proc	MOVE	TO		(29)	
596	proc	MOVE	TO		(30)	
597	proc	MOVE	TO		(31)	
598	proc	MOVE	TO		(32)	
599	proc	MOVE	TO		(33)	
600	proc	MOVE	TO		(34)	
601	proc	MOVE	TO		(35)	
602	proc	MOVE	TO		(36)	
603	proc	MOVE	TO		(37)	
604	proc	MOVE	TO		(38)	
605	proc	MOVE	TO		(39)	
606	proc	MOVE	TO		(40)	
607	proc	MOVE	TO		(41)	
608	proc	MOVE	TO		(42)	
609	proc	MOVE	TO		(43)	
610	proc	MOVE	TO		(44)	
611	proc	MOVE	TO		(45)	
612	proc	MOVE	TO		(46)	
613	proc	MOVE	TO		(47)	
614	proc	MOVE	TO		(48)	
615	proc	MOVE	TO		(49)	
616	proc	MOVE	TO		(50)	
617	proc	MOVE	TO		(1)	
618	proc	MOVE	TO		(2)	
619	proc	MOVE	TO		(3)	
620	proc	MOVE	TO		(4)	
621	proc	MOVE	TO		(5)	
622	proc	MOVE	TO		(6)	
623	proc	MOVE	TO		(7)	
624	proc	MOVE	TO		(8)	
625	proc	MOVE	TO		(9)	
626	SQL	DELETE	FROM			SQL003000
627	SQL	DELETE	WHERE			SQL003001
628	proc	MOVE			(WS-DT-REM)	
629	proc	CALL	USING1 BY REFERENCE			
630	proc	CALL	USING2 BY REFERENCE			
631	proc	CALL	USING3 BY REFERENCE			
632	proc	CALL	USING4 BY REFERENCE			
633	proc	ENTRY				ENTRY26
634	proc	ENTRY				ENTRY27
635	proc	MOVE			(1 : 14)	
636	proc	ENTRY				ENTRY28
637	proc	ENTRY				ENTRY29
638	proc	IF	=		(MAPFAIL)	
639	proc	ENTRY				ENTRY30
640	MAPSET	DFHMSD	TYPE		3151111101111111	
641	MAPSET	DFHMSD	MODE			
642	MAPSET	DFHMSD	LANG			
643	MAPSET	DFHMSD	STORAGE			
644	MAPSET	DFHMSD	CTRL			
645	MAPSET	DFHMSD	EXTATT			
646	MAPSET	DFHMSD	TERM		3270-2	
647	MAPSET	DFHMSD	TIOAPFX			
648	MAPSET	DFHMSD	MAPATTS		(COLOR,HILIGHT,OUTLINE,PS,SOSI)	
649	MAPSET	DFHMSD	DSATTS		(COLOR,HILIGHT,OUTLINE,PS,SOSI)	
650	MAPSET	DFHMSD				MAP000001
651	MAP	DFHMDI	SIZE		(24,80)	
652	MAP	DFHMDI	COLUMN		1	
653	MAP	DFHMDI	LINE		1	
654	MAP	DFHMDI				MAP000002
655	ASM	DFHMDF	POS		(1,1)	
656	ASM	DFHMDF	LENGTH		7	
657	ASM	DFHMDF	INITIAL		'BNK1DC '	
658	ASM	DFHMDF	ATTRB		(NORM,PROT)	
659	ASM	DFHMDF	COLOR			
660	ASM	DFHMDF				MAP000003
661	ASM	DFHMDF	POS		(1,16)	
662	ASM	DFHMDF	LENGTH		52	
663	ASM	DFHMDF	INITIAL		'CICS Banking Sample Application - Display Customer.'	
664	ASM	DFHMDF				MAP000004
665	ASM	DFHMDF	POS		(3,1)	
666	ASM	DFHMDF	LENGTH		44	
667	ASM	DFHMDF	ATTRB		(ASKIP,PROT)	
668	ASM	DFHMDF	INITIAL		'Provide a CUSTOMER number. Then press Enter.'	
669	ASM	DFHMDF				MAP000005
670	ASM	DFHMDF	POS		(5,1)	
671	ASM	DFHMDF	LENGTH		16	
672	ASM	DFHMDF	INITIAL		'CUSTOMER NUMBER'	
673	ASM	DFHMDF				MAP000006
674	ASM	DFHMDF	POS		(5,17)	
675	ASM	DFHMDF	LENGTH		10	
676	ASM	DFHMDF	ATTRB		(NORM,IC)	
677	ASM	DFHMDF	HILIGHT			
678	ASM	DFHMDF				MAP000007
679	ASM	DFHMDF	POS		(5,28)	
680	ASM	DFHMDF	LENGTH		1	
681	ASM	DFHMDF				MAP000008
682	ASM	DFHMDF	POS		(7,1)	
683	ASM	DFHMDF	INITIAL		'Sort Code       '	
684	ASM	DFHMDF				MAP000009
685	ASM	DFHMDF	POS		(7,18)	
686	ASM	DFHMDF	LENGTH		6	
687	ASM	DFHMDF	ATTRB		(NORM,PROT,FSET,ASKIP)	
688	ASM	DFHMDF				MAP000010
689	ASM	DFHMDF	POS		(8,1)	
690	ASM	DFHMDF	ATTRB		(NORM,PROT,ASKIP)	
691	ASM	DFHMDF	INITIAL		'Customer Number '	
692	ASM	DFHMDF				MAP000011
693	ASM	DFHMDF	POS		(8,18)	
694	ASM	DFHMDF	ATTRB		(NORM,PROT,ASKIP,FSET)	
695	ASM	DFHMDF				MAP000012
696	ASM	DFHMDF	POS		(9,1)	
697	ASM	DFHMDF	INITIAL		'Customer Name   '	
698	ASM	DFHMDF				MAP000013
699	ASM	DFHMDF	POS		(9,18)	
700	ASM	DFHMDF	LENGTH		60	
701	ASM	DFHMDF	ATTRB		(PROT,FSET,NORM,ASKIP)	
702	ASM	DFHMDF				MAP000014
703	ASM	DFHMDF	POS		(9,79)	
704	ASM	DFHMDF	LENGTH		0	
705	ASM	DFHMDF	ATTRB		(PROT,ASKIP)	
706	ASM	DFHMDF				MAP000015
707	ASM	DFHMDF	POS		(10,1)	
708	ASM	DFHMDF	INITIAL		'Customer Address'	
709	ASM	DFHMDF				MAP000016
710	ASM	DFHMDF	POS		(10,18)	
